Inc: IA No,Inc: Incident type,Inc: Received date,OffSnp: Title/rank,Off: First name,Off: Last name,Alg: Allegation,Alg: Finding,Act: Action taken,Act: Days/hours suspended,Act: Action taken date,Inc: Occurred date
IAD2011-0231,Citizen complaint,05/06/2011,Police Officer,Karen M,Tognarelli,Respectful Treatment,Not Sustained,,,,04/18/2011
IAD2011-0233,Citizen complaint,05/06/2011,Police Officer,,Unknown,Respectful Treatment,Unfounded,,,,05/06/2011
IAD2011-0234,Citizen complaint,05/06/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Taylor S.
Taylor S.
Kamil
Kamil
Elizabeth Susan
John","Small
Small
Kluziak
Kluziak
Philbin
Kacvinsky","Use of Force
Respectful Treatment
Respectful Treatment
Use of Force
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Not Sustained
Exonerated
Not Sustained
Not Sustained",,"0
0
0
0
0
0",,05/05/2011
IAD2011-0235,Citizen complaint,05/09/2011,Police Officer,Richard L,Medina,Neg.Duty/Unreasonable Judge,Exonerated,,,,05/06/2011
IAD2011-0236,Citizen complaint,05/09/2011,"Lieutenant
Police Officer","Donald D.
Joseph","Callahan
Downing","Respectful Treatment
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,05/08/2011
IAD2011-0239,Citizen complaint,05/11/2011,Police Officer,Hector R.,Alicea,Use of Force,Not Sustained,,,,05/11/2011
IAD2011-0242,Internal investigation,05/14/2011,"Police Officer
Police Officer","Joseph
Joseph","Lynch
Lynch","Directives/Orders
Respectful Treatment","Sustained
Sustained","Suspension
Suspension","1
1","06/24/2011
06/24/2011",05/14/2011
IAD2011-0243,Citizen complaint,05/16/2011,"Lieutenant
Police Officer","Therese M
Vincent R.","Kozmiski
Adduci","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,03/24/2011
IAD2011-0244,Citizen complaint,05/16/2011,"Police Officer
Police Officer","George
George","White
White","Neg.Duty/Unreasonable Judge
Self Identification","Unfounded
Sustained","Retired
Retired","0
0","04/30/2016
04/30/2016",05/12/2011
IAD2011-0247,Internal investigation,05/17/2011,Police Officer,,Unknown,Harassment Policy - Unlawful Conduct,Not Sustained,,,,05/17/2011
IAD2011-0249,Citizen complaint,05/17/2011,Sergeant Detective,Donald F,KEENAN,Neg.Duty/Unreasonable Judge,Unfounded,,,,03/28/2011
IAD2011-0250,Citizen complaint,05/17/2011,Police Officer,Agnaldo P,Monteiro,Neg.Duty/Unreasonable Judge,Unfounded,,,,05/14/2011
IAD2011-0251,Citizen complaint,05/17/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Justin P.
Justin P.
John
John
Robert H","Wood
Wood
McDonald
McDonald
Connolly","Use of Force
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Use of Force
Examination for Visible Injuries","Unfounded
Unfounded
Unfounded
Unfounded
Not Sustained",,"0
0
0
0
0",,05/10/2009
IAD2011-0252,Internal investigation,05/17/2011,Sergeant Detective,Brian E,Riley,Reporting for Duty,Sustained,Suspension,1,05/17/2011,05/06/2011
IAD2011-0253,Citizen complaint,05/18/2011,"Police Officer
Police Officer","Jesse E
Peter J.","Goff
Messina","Neg.Duty/Unreasonable Judge Bias
Neg.Duty/Unreasonable Judge Bias","Unfounded
Unfounded",,"0
0",,02/23/2011
IAD2011-0254,Citizen complaint,05/18/2011,"Sergeant Detective
Police Officer
Police Officer","Paul W
Paul T
Paul T","Murphy Jr.
Quinn
Quinn","Conformance to Laws
Conformance to Laws
Drug Forfeiture Procedures","Unfounded
Unfounded
Unfounded",,"0
0
0",,
IAD2011-0257,Citizen complaint,05/19/2011,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,05/18/2011
IAD2011-0258,Citizen complaint,05/20/2011,"Police Officer
Police Officer","Willie B
Ramadani","Lyons
Abdul-Aziz","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Oral Reprimand
Oral Reprimand","0
0","05/29/2012
06/05/2012",05/01/2011
IAD2011-0261,Citizen complaint,05/24/2011,Police Officer,Joseph M,Miskel,Respectful Treatment,Not Sustained,,,,05/20/2011
IAD2011-0262,Citizen complaint,05/24/2011,Police Officer,Cleveland A,Burwell,Respectful Treatment,Not Sustained,,,,05/24/2011
IAD2011-0264,Citizen complaint,05/25/2011,"Police Officer
Police Officer","Wayne Emory
Wayne Emory","Hester
Hester","Respectful Treatment
Self Identification","Not Sustained
Not Sustained",,"0
0",,05/12/2011
IAD2011-0266,Citizen complaint,05/26/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Adam J.
Adam J.
Adam J.
David
David
David
David
David","Fornash
Fornash
Fornash
Godin
Godin
Godin
Godin
Godin","Use of Force
Neg.Duty/Unreasonable Judge
Respectful Treatment
Neglect fo Duty/Unreasonable Judgment/Seizure
Respectful Treatment
Self Identification
Use of Force
Neglect of Duty/Unreasonable Judgment-Improper Search","Sustained
Sustained
Not Sustained
Exonerated
Sustained
Not Sustained
Sustained
Sustained","Written Reprimand/Settlement Agreement
Written Reprimand/Settlement Agreement
Written Reprimand/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension/Settlement Agreement","0
0
0
1
1
1
1
1","01/15/2014
01/15/2014
01/15/2014
01/15/2014
01/15/2014
01/15/2014
01/15/2014
01/15/2014",05/26/2011
IAD2011-0267,Citizen complaint,05/26/2011,"Police Officer
Sergeant
Police Officer","Kevin F
Robert T","Unknown
Jones
England","Use of Force
Self Identification
Self Identification","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,05/16/2011
IAD2011-0268,Citizen complaint,05/26/2011,"Sergeant Detective
Sergeant Detective","John J
John J","Fitzgerald
Fitzgerald","Respectful Treatment
Neg.Duty/Unreasonable Judge","Unfounded
Exonerated",,"0
0",,05/22/2011
IAD2011-0270,Citizen complaint,05/27/2011,"Police Officer
Police Officer","Michael
Steven A.","Golden
Dodd","Neg.Duty/Unreasonable Judge (2 counts)
Neg.Duty/Unreasonable Judge (2 counts)","Exonerated
Exonerated",,"0
0",,05/27/2011
IAD2011-0271,Citizen complaint,06/01/2011,"Police Officer
Police Officer","Adam J.
Adam J.","Fornash
Fornash","Respectful Treatment (2 counts)
Neg.Duty/Unreasonable Judge","Not Sustained
Exonerated",,"0
0",,06/01/2011
IAD2011-0272,Citizen complaint,06/01/2011,"Lieutenantenant Detective
Police Officer","Brian J
James D","Larkin
Scopa","Use of Force
Use of Force","Unfounded
Exonerated",,"0
0",,
IAD2011-0273,Internal investigation,06/01/2011,Police Officer,Michael,O'Rourke,Neg.Duty/Unreasonable Judge,Sustained,Suspension,1,11/02/2011,03/22/2011
IAD2011-0275,Internal investigation,06/03/2011,Police Officer,Henry,Beato,Drug Test,Sustained,Suspension/Settlement Agreement,5,07/07/2011,05/19/2011
IAD2011-0276,Citizen complaint,06/04/2011,"Police Officer
Police Officer
Police Officer","Matthew K
Kelvin M
David","Carey
Ervin
Malcolm","Collection & Identification of Physical Evidence
Collection & Identification of Physical Evidence
Collection & Identification of Physical Evidence","Not Sustained
Sustained
Not Sustained","Oral Reprimand
","0
0
0","09/05/2012
",05/31/2011
IAD2011-0277,Internal investigation,06/07/2011,"Detective
Police Officer","Patrick M.J
","Foley
Unknown","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained
Not Sustained","Oral Reprimand
","0
0","07/10/2013
",06/06/2011
IAD2011-0281,Citizen complaint,06/08/2011,"Lieutenantenant
Lieutenantenant
Police Officer","Steven M
Steven M
Murphy L","Ciccolo
Ciccolo
Gregory Jr.","Respectful Treatment
Self Identification
Respectful Treatment","Not Sustained
Not Sustained
Not Sustained",,"0
0
0",,06/04/2011
IAD2011-0282,Citizen complaint,06/08/2011,Police Officer,Daniel A,Long,Respectful Treatment,Not Sustained,,,,05/26/2011
IAD2011-0287,Citizen complaint,06/10/2011,"Lieutenantenant
Captain
Lieutenantenant Detective
Sergeant
Sergeant
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Known to
Known to
Known to
Known to
Known
Daniel J.
Daniel J.
Daniel J.
Ann Marie
Ann Marie","Department
Department
Department
Department
Department
McCarthy
McCarthy
McCarthy
Barrett
Barrett","Neg.Duty/Unreasonable Judge A
Neg.Duty/Unreasonable Judge A
Neg.Duty/Unreasonable Judge A
Neg.Duty/Unreasonable Judge A
Neg.Duty/Unreasonable Judge A
Neg.Duty/Unreasonable Judge 
Respectful Treatment
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Sustained A
Sustained A
Sustained A
Sustained A
Sustained A
Sustained
Not Sustained
Not Sustained
Unfounded
Not Sustained","Suspension/Settlement Agreement
Suspension/Settlement Agreement

Suspension/Settlement Agreement
Suspension/Settlement Agreement
Suspension
Suspension
Suspension

","1
5
0
1
1
3
3
3
0
0","04/10/2012
04/10/2012

04/10/2012
04/10/2012
03/31/2012
03/31/2012
03/31/2012

",
IAD2011-0288,Citizen complaint,06/10/2011,"Sergeant
Sergeant
Police Officer","Joseph A
Joseph A
Stephen","Gallarelli
Gallarelli
Ryan","Use of Force
Respectful Treatment
Neg.Duty/Unreasonable Judge","Exonerated
Not Sustained
Unfounded",,"0
0
0",,
IAD2011-0289,Citizen complaint,06/10/2011,Sergeant,Martin B,Kraft,Neg.Duty/Unreasonable Judge,Not Sustained,,,,
IAD2011-0290,Citizen complaint,06/13/2011,"Police Officer
Police Officer
Police Officer","Alvin S
Alvin S
Shana","Holder
Holder
Cottone","Neg.Duty/Unreasonable Judge
Use of Force
Respectful Treatment","Exonerated
Exonerated
Not Sustained",,"0
0
0",,06/10/2010
IAD2011-0292,Internal investigation,06/14/2011,Police Officer,Stephen R,Landrum,Reporting for Duty,Sustained,Suspension,1,06/14/2011,
IAD2011-0294,Citizen complaint,06/14/2011,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,05/23/2011
IAD2011-0298,Citizen complaint,06/17/2011,Sergeant,Martin B,Kraft,Neg.Duty/Unreasonable Judge,Not Sustained,,,,06/14/2011
IAD2011-0302,Citizen complaint,06/21/2011,Police Officer,Katelyn M.,O'Toole,Neg.Duty/Unreasonable Judge,Exonerated,,,,06/20/2011
IAD2011-0303,Citizen complaint,06/22/2011,"Sergeant
Police Officer","John P
Joseph","Wright
Hynes","Respectful Treatment
Respectful Treatment","Unfounded
Unfounded",,"0
0",,06/20/2011
IAD2011-0306,Citizen complaint,06/24/2011,Police Officer,George,White,Respectful Treatment,Not Sustained,,,,06/24/2011
IAD2011-0307,Internal investigation,06/26/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Timothy
Timothy
Timothy
Timothy
Timothy
Timothy","Cullen
Cullen
Cullen
Cullen
Cullen
Cullen","Conformance to Laws
Conformance to Laws
Conduct Unbecoming
Conduct Unbecoming
Alcohol off Duty
Alcohol off Duty","Not Sustained
Not Sustained
Sustained
Sustained
Sustained
Sustained","Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement","6
10
6
10
6
10","04/04/2012
04/04/2012
04/04/2012
04/04/2012
04/04/2012
04/04/2012",06/26/2011
IAD2011-0310,Citizen complaint,06/28/2011,Sergeant,Brian K,Latson,Respectful Treatment,Not Sustained,,,,
IAD2011-0311,Internal investigation,06/30/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Jean-Paul
Jean-Paul
Jean-Paul
Jean-Paul
Cleveland A","Limontas
Limontas
Limontas
Limontas
Burwell","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Failure to be Properly Equipped
Failure to be Properly Equipped
Neg.Duty/Unreasonable Judge","Sustained
Sustained
Sustained
Sustained
Sustained","Suspension/Settlement Agreement
Suspension held in abeyance
Suspension/Settlement Agreement
Suspension held in abeyance
Oral Reprimand","5
2
5
2
0","02/10/2012
02/10/2012
02/10/2012
02/10/2012
11/17/2011",06/28/2011
IAD2011-0313,Citizen complaint,07/01/2011,Police Officer,,Unknown,Neg.Duty/Unreasonable Judge,Not Sustained,,,,06/28/2011
IAD2011-0314,Citizen complaint,07/01/2011,"Police Officer
Sergeant","Darryn L
John P","Brown
Doris","Neg.Duty/Unreasonable Judge
Respectful Treatment","Not Sustained
Not Sustained",,"0
0",,06/18/2011
IAD2011-0315,Citizen complaint,07/01/2011,"Sergeant
Sergeant","John M
John M","Johnson
Johnson","Respectful Treatment
Neg.Duty/Unreasonable Judge","Exonerated
Exonerated",,"0
0",,06/30/2011
IAD2011-0316,Citizen complaint,07/01/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Mark C
Mark C
Anthony L
Anthony L","Hennessy
Hennessy
Dantona
Dantona","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Exonerated
Unfounded
Unfounded
Exonerated",,"0
0
0
0",,01/16/2008
IAD2011-0317,Citizen complaint,07/01/2011,"Detective
Detective","Daniel E
Daniel E","Macdonald
Macdonald","Respectful Treatment
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,06/14/2011
IAD2011-0318,Citizen complaint,07/05/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Patrick J
Patrick J
Mark C
Mark C","McDonough
McDonough
Hennessy
Hennessy","Use of Force
Respectful Treatment
Use of Force
Respectful Treatment","Not Sustained
Not Sustained
Unfounded
Unfounded",,"0
0
0
0",,07/05/2011
IAD2011-0321,Citizen complaint,07/05/2011,"Police Officer
Sergeant
Police Officer","James
James B
Stephen","Conley
Conley
McNeil","Abuse of Discretion
Abuse of Discretion
Abuse of Discretion","Exonerated
Exonerated
Exonerated",,"0
0
0",,07/05/2011
IAD2011-0322,Citizen complaint,07/06/2011,"Police Officer
Police Officer
Police Officer","Patrick J.
Patrick J.
Patrick J.","McCarthy
McCarthy
McCarthy","Respectful Treatment
Neg.Duty/Unreasonable Judge
Self Identification","Sustained
Sustained
Sustained","Suspension
Suspension
Suspension","5
5
5","06/01/2012
06/01/2012
06/01/2012",04/18/2011
IAD2011-0323,Citizen complaint,07/07/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Omar
Omar
Omar
Omar","Borges
Borges
Borges
Borges","Respectful Treatment
Self Identification
Use of Force
Neg.Duty/Unreasonable Judge","Not Sustained
Sustained
Not Sustained
Exonerated","Oral Reprimand
Oral Reprimand
Oral Reprimand
Oral Reprimand","0
0
0
0","07/08/2019
07/08/2019
07/08/2019
07/08/2019",06/29/2011
IAD2011-0324,Citizen complaint,07/12/2011,"Police Officer
Detective","Kenneth R
William J.","Reid
Samaras","Respectful Treatment
Respectful Treatment","Not Sustained
Unfounded",,"0
0",,07/11/2011
IAD2011-0325,Citizen complaint,07/15/2011,Police Officer,Thomas,Gallagher,Respectful Treatment,Not Sustained,,,,07/14/2011
IAD2011-0327,Internal investigation,07/16/2011,Police Officer,Anthony M.,Alexis,Neg.Duty/Unreasonable Judge,Sustained,Suspension,2,07/27/2011,07/13/2011
IAD2011-0328,Citizen complaint,07/17/2011,Police Officer,Stephen,Morash,Respectful Treatment,Exonerated,,,,07/17/2011
IAD2011-0330,Citizen complaint,07/20/2011,Police Officer,Ronald P,Curtis,Conduct Unbecoming,Not Sustained,,,,07/05/2011
IAD2011-0331,Citizen complaint,07/22/2011,Police Officer,Lance R,Norwood,Respectful Treatment,Not Sustained,,,,07/20/2011
IAD2011-0332,Citizen complaint,07/22/2011,"Detective
Detective","Ediberto
Ediberto","Figueroa
Figueroa","Neg.Duty/Unreasonable Judge Bias
Conduct Unbecoming","Unfounded
Not Sustained",,"0
0",,01/01/2011
IAD2011-0334,Internal investigation,07/24/2011,"Sergeant Detective
Sergeant Detective","Raymond R
Daniel M","Mosher
Keeler","Conduct Unbecoming
Neg.Duty/Unreasonable Judge","Sustained
Sustained","Retired
Oral Reprimand","0
0","09/16/2011
08/07/2012",07/24/2011
IAD2011-0335,Citizen complaint,07/25/2011,"Police Officer
Police Officer","Paul E.
Paul E.","Hayward
Hayward","Conduct Unbecoming
Neg.Duty/Unreasonable Judge","Unfounded
Exonerated",,"0
0",,07/25/2011
IAD2011-0337,Internal investigation,07/27/2011,"Police Officer
Police Officer
Police Officer","Lamont
Lamont
Lamont","Anderson
Anderson
Anderson","Paid Details Fitness for Duty
Detail Cards
Sleeping On Duty","Sustained
Sustained
Sustained","Written Reprimand
Written Reprimand
Written Reprimand","0
0
0","05/20/2015
05/20/2015
05/20/2015",07/19/2011
IAD2011-0338,Internal investigation,07/27/2011,Police Officer,Ismael,Sosa,Neg.Duty/Unreasonable Judge,Sustained,Suspension,2,08/23/2011,07/24/2011
IAD2011-0339,Citizen complaint,07/29/2011,Police Officer,Stephen,Chin,Respectful Treatment,Not Sustained,,,,07/29/2011
IAD2011-0341,Citizen complaint,07/29/2011,Detective,Ellis E,Thornton,Respectful Treatment,Unfounded,,,,07/26/2011
IAD2011-0343,Citizen complaint,08/01/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Jeffrey Maurice
Jeffrey Maurice
Jeffrey Maurice
Jeffrey Maurice","Worthy
Worthy
Worthy
Worthy","Respectful Treatment
Neg.Duty/Unreasonable Judge
Police Officer Notifying Operations
F.I.O Reports","Not Sustained
Sustained
Sustained
Not Sustained","Suspension
Suspension
Suspension
Suspension","1
1
1
1","08/16/2012
08/16/2012
08/16/2012
08/16/2012",07/22/2011
IAD2011-0344,Citizen complaint,08/01/2011,"Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer
Police Officer","Kurt J
Robertkly
Thomas J
Samora F
Anthony M.
Bienvenido
Bienvenido","Stokinger
Joseph
Noto
Lopes
Alexis
DeLaCruz
DeLaCruz","Use of Force
Use of Force
Use of Force
Use of Force
Use of Force
Use of Force
Respectful Treatment","Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Exonerated
Not Sustained",,"0
0
0
0
0
0
0",,07/29/2011
IAD2011-0345,Citizen complaint,08/01/2011,"Police Officer
Police Officer","Tyrone E
Tyrone E","Smith
Smith","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Not Sustained
Not Sustained",,"0
0",,07/18/2011
IAD2011-0346,Citizen complaint,08/03/2011,Police Officer,Peter,Giannopoulos,Use of Force,Exonerated,,,,08/03/2011
IAD2011-0347,Citizen complaint,08/03/2011,"Sergeant
Sergeant","Joseph R
Joseph R","Horton
Horton","Neg.Duty/Unreasonable Judge
Respectful Treatment","Unfounded
Not Sustained",,"0
0",,07/30/2011
IAD2011-0350,Citizen complaint,08/03/2011,"Police Officer
Police Officer
Police Officer","Joseph
Matthew K
Patrick Edward","Holmes
Carey
Byrne","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded
Unfounded",,"0
0
0",,11/17/2007
IAD2011-0351,Citizen complaint,08/03/2011,"Police Officer
Police Officer","Edward J
Caetano A","Boylan
Teixeira","Neg.Duty/Unreasonable Judge
Neg.Duty/Unreasonable Judge","Unfounded
Unfounded",,"0
0",,08/02/2011
IAD2011-0353,Citizen complaint,08/04/2011,Police Officer,Thomas P,O'donnell,Neg.Duty/Unreasonable Judge,Unfounded,,,,07/08/2011
IAD2011-0354,Citizen complaint,08/04/2011,Police Officer,Agnaldo P,Monteiro,Respectful Treatment,Exonerated,,,,07/27/2011
IAD2011-0355,Citizen complaint,08/04/2011,"Police Officer
Police Officer
Police Officer
Police Officer","Robert R.
Robert R.
David R.
David R.","Robichaud
Robichaud
Lanteigne
Lanteigne","Use of Force
Respectful Treatment
Respectful Treatment
Use of Force","Not Sustained
Not Sustained
Not Sustained
Not Sustained",,"0
0
0
0",,07/28/2011
IAD2011-0356,Citizen complaint,08/05/2011,"Sergeant
Sergeant
Police Officer
Police Officer
Police Officer","Thomas F
Thomas F
Franklyn
Frederick M
Frederick M","Rose
Rose
Centeio Sr.
Mendes
Mendes","Respectful Treatment
Use of Force
Use of Force
Respectful Treatment
Use of Force","Unfounded
Unfounded
Exonerated
Not Sustained
Exonerated",,"0
0
0
0
0",,
